City,Hour,Weekday,Junction,Temperature,TrafficFlow
Bangalore,0,0,4,22.36,75
Bangalore,1,0,4,34.93,54
Bangalore,2,0,4,34.36,50
Bangalore,3,0,4,25.32,40
Bangalore,4,0,4,25.84,46
Bangalore,5,0,4,29.23,64
Bangalore,6,0,4,29.12,146
Bangalore,7,0,4,24.16,356
Bangalore,8,0,4,28.98,343
Bangalore,9,0,4,28.04,257
Bangalore,10,0,4,36.18,309
Bangalore,11,0,4,28.46,210
Bangalore,12,0,4,28.54,129
Bangalore,13,0,4,31.65,209
Bangalore,14,0,4,40.19,174
Bangalore,15,0,4,26.4,206
Bangalore,16,0,4,36.54,141
Bangalore,17,0,4,35.32,256
Bangalore,18,0,4,37.53,340
Bangalore,19,0,4,42.27,304
Bangalore,20,0,4,29.31,274
Bangalore,21,0,4,33.31,158
Bangalore,22,0,4,37.91,166
Bangalore,23,0,4,41.82,194
Bangalore,0,1,4,24.34,56
Bangalore,1,1,4,22.1,35
Bangalore,2,1,4,29.49,73
Bangalore,3,1,4,24.42,70
Bangalore,4,1,4,25.12,34
Bangalore,5,1,4,32.92,32
Bangalore,6,1,4,36.65,208
Bangalore,7,1,4,28.59,254
Bangalore,8,1,4,38.18,365
Bangalore,9,1,4,35.93,322
Bangalore,10,1,4,24.75,343
Bangalore,11,1,4,29.21,194
Bangalore,12,1,4,26.12,196
Bangalore,13,1,4,35.8,149
Bangalore,14,1,4,37.38,154
Bangalore,15,1,4,26.39,220
Bangalore,16,1,4,27.97,139
Bangalore,17,1,4,32.71,355
Bangalore,18,1,4,28.3,330
Bangalore,19,1,4,34.64,286
Bangalore,20,1,4,29.04,277
Bangalore,21,1,4,42.26,143
Bangalore,22,1,4,42.13,209
Bangalore,23,1,4,35.33,139
Bangalore,0,2,4,26.98,46
Bangalore,1,2,4,35.09,28
Bangalore,2,2,4,23.73,58
Bangalore,3,2,4,30.0,43
Bangalore,4,2,4,27.87,56
Bangalore,5,2,4,23.37,35
Bangalore,6,2,4,36.97,211
Bangalore,7,2,4,23.78,357
Bangalore,8,2,4,32.3,307
Bangalore,9,2,4,29.43,351
Bangalore,10,2,4,29.34,288
Bangalore,11,2,4,34.46,163
Bangalore,12,2,4,35.87,211
Bangalore,13,2,4,27.08,185
Bangalore,14,2,4,26.34,125
Bangalore,15,2,4,27.71,200
Bangalore,16,2,4,28.54,208
Bangalore,17,2,4,40.59,294
Bangalore,18,2,4,28.44,293
Bangalore,19,2,4,40.65,270
Bangalore,20,2,4,37.59,256
Bangalore,21,2,4,38.29,227
Bangalore,22,2,4,43.24,135
Bangalore,23,2,4,32.73,169
Bangalore,0,3,4,24.14,36
Bangalore,1,3,4,32.94,57
Bangalore,2,3,4,28.72,64
Bangalore,3,3,4,29.95,64
Bangalore,4,3,4,27.23,72
Bangalore,5,3,4,24.89,25
Bangalore,6,3,4,35.85,171
Bangalore,7,3,4,24.66,255
Bangalore,8,3,4,29.02,342
Bangalore,9,3,4,29.66,264
Bangalore,10,3,4,30.07,348
Bangalore,11,3,4,26.67,172
Bangalore,12,3,4,32.75,124
Bangalore,13,3,4,33.27,158
Bangalore,14,3,4,32.53,189
Bangalore,15,3,4,40.31,149
Bangalore,16,3,4,38.11,123
Bangalore,17,3,4,29.37,277
Bangalore,18,3,4,37.19,300
Bangalore,19,3,4,38.83,256
Bangalore,20,3,4,36.48,364
Bangalore,21,3,4,31.35,178
Bangalore,22,3,4,31.06,123
Bangalore,23,3,4,32.8,221
Bangalore,0,4,4,27.01,64
Bangalore,1,4,4,33.45,55
Bangalore,2,4,4,24.49,60
Bangalore,3,4,4,34.68,65
Bangalore,4,4,4,27.43,55
Bangalore,5,4,4,22.45,44
Bangalore,6,4,4,26.08,128
Bangalore,7,4,4,33.89,361
Bangalore,8,4,4,37.39,353
Bangalore,9,4,4,27.3,313
Bangalore,10,4,4,34.95,271
Bangalore,11,4,4,37.45,181
Bangalore,12,4,4,35.06,211
Bangalore,13,4,4,32.58,143
Bangalore,14,4,4,40.58,177
Bangalore,15,4,4,29.57,117
Bangalore,16,4,4,41.28,136
Bangalore,17,4,4,27.32,316
Bangalore,18,4,4,37.77,267
Bangalore,19,4,4,41.39,277
Bangalore,20,4,4,39.64,296
Bangalore,21,4,4,36.19,218
Bangalore,22,4,4,32.95,218
Bangalore,23,4,4,34.01,198
Bangalore,0,5,4,32.13,31
Bangalore,1,5,4,23.8,66
Bangalore,2,5,4,32.55,24
Bangalore,3,5,4,21.74,57
Bangalore,4,5,4,26.86,61
Bangalore,5,5,4,23.05,22
Bangalore,6,5,4,29.63,133
Bangalore,7,5,4,22.96,262
Bangalore,8,5,4,35.74,290
Bangalore,9,5,4,35.05,270
Bangalore,10,5,4,30.11,241
Bangalore,11,5,4,38.39,171
Bangalore,12,5,4,39.28,116
Bangalore,13,5,4,32.67,101
Bangalore,14,5,4,29.71,180
Bangalore,15,5,4,38.82,184
Bangalore,16,5,4,36.19,127
Bangalore,17,5,4,32.77,249
Bangalore,18,5,4,32.85,227
Bangalore,19,5,4,42.78,296
Bangalore,20,5,4,33.11,308
Bangalore,21,5,4,37.28,168
Bangalore,22,5,4,35.67,170
Bangalore,23,5,4,41.41,120
Bangalore,0,6,4,28.99,20
Bangalore,1,6,4,27.45,54
Bangalore,2,6,4,21.82,29
Bangalore,3,6,4,34.63,50
Bangalore,4,6,4,32.41,22
Bangalore,5,6,4,27.88,20
