City,Hour,Weekday,Junction,Temperature,TrafficFlow
Bangalore,0,0,3,31.11,71
Bangalore,1,0,3,31.1,43
Bangalore,2,0,3,31.35,30
Bangalore,3,0,3,22.06,44
Bangalore,4,0,3,22.84,64
Bangalore,5,0,3,23.45,23
Bangalore,6,0,3,29.72,111
Bangalore,7,0,3,24.19,258
Bangalore,8,0,3,32.31,236
Bangalore,9,0,3,28.91,286
Bangalore,10,0,3,38.77,285
Bangalore,11,0,3,24.76,158
Bangalore,12,0,3,26.88,129
Bangalore,13,0,3,39.12,118
Bangalore,14,0,3,36.1,142
Bangalore,15,0,3,38.07,185
Bangalore,16,0,3,30.76,177
Bangalore,17,0,3,36.58,320
Bangalore,18,0,3,38.8,311
Bangalore,19,0,3,36.75,326
Bangalore,20,0,3,41.92,252
Bangalore,21,0,3,36.26,134
Bangalore,22,0,3,30.12,186
Bangalore,23,0,3,35.82,170
Bangalore,0,1,3,25.33,30
Bangalore,1,1,3,23.81,37
Bangalore,2,1,3,27.96,54
Bangalore,3,1,3,34.83,36
Bangalore,4,1,3,27.14,65
Bangalore,5,1,3,22.52,72
Bangalore,6,1,3,30.28,168
Bangalore,7,1,3,35.3,282
Bangalore,8,1,3,30.44,244
Bangalore,9,1,3,24.29,324
Bangalore,10,1,3,27.35,289
Bangalore,11,1,3,35.36,107
Bangalore,12,1,3,35.92,132
Bangalore,13,1,3,35.7,106
Bangalore,14,1,3,32.54,122
Bangalore,15,1,3,36.04,151
Bangalore,16,1,3,29.53,177
Bangalore,17,1,3,41.47,329
Bangalore,18,1,3,28.84,327
Bangalore,19,1,3,36.97,282
Bangalore,20,1,3,38.7,308
Bangalore,21,1,3,29.02,160
Bangalore,22,1,3,33.35,181
Bangalore,23,1,3,40.27,178
Bangalore,0,2,3,21.75,33
Bangalore,1,2,3,29.23,66
Bangalore,2,2,3,23.6,30
Bangalore,3,2,3,22.89,65
Bangalore,4,2,3,35.14,31
Bangalore,5,2,3,33.93,43
Bangalore,6,2,3,33.33,159
Bangalore,7,2,3,31.33,250
Bangalore,8,2,3,26.76,274
Bangalore,9,2,3,27.85,285
Bangalore,10,2,3,31.66,318
Bangalore,11,2,3,24.76,128
Bangalore,12,2,3,31.67,189
Bangalore,13,2,3,36.71,126
Bangalore,14,2,3,35.44,149
Bangalore,15,2,3,31.02,158
Bangalore,16,2,3,30.09,142
Bangalore,17,2,3,27.91,279
Bangalore,18,2,3,38.8,250
Bangalore,19,2,3,41.35,306
Bangalore,20,2,3,30.17,259
Bangalore,21,2,3,34.71,126
Bangalore,22,2,3,38.55,206
Bangalore,23,2,3,39.4,119
Bangalore,0,3,3,33.74,49
Bangalore,1,3,3,28.65,47
Bangalore,2,3,3,30.38,58
Bangalore,3,3,3,34.34,60
Bangalore,4,3,3,34.72,67
Bangalore,5,3,3,31.36,47
Bangalore,6,3,3,26.78,199
Bangalore,7,3,3,31.78,282
Bangalore,8,3,3,27.24,278
Bangalore,9,3,3,30.94,320
Bangalore,10,3,3,38.76,321
Bangalore,11,3,3,25.88,174
Bangalore,12,3,3,32.98,202
Bangalore,13,3,3,27.86,198
Bangalore,14,3,3,38.53,203
Bangalore,15,3,3,33.09,118
Bangalore,16,3,3,30.61,175
Bangalore,17,3,3,34.73,263
Bangalore,18,3,3,36.08,242
Bangalore,19,3,3,33.14,325
Bangalore,20,3,3,42.52,324
Bangalore,21,3,3,29.51,144
Bangalore,22,3,3,34.29,127
Bangalore,23,3,3,32.41,178
Bangalore,0,4,3,28.92,51
Bangalore,1,4,3,27.84,53
Bangalore,2,4,3,27.73,59
Bangalore,3,4,3,24.13,35
Bangalore,4,4,3,33.62,24
Bangalore,5,4,3,30.53,51
Bangalore,6,4,3,24.81,126
Bangalore,7,4,3,31.06,246
Bangalore,8,4,3,31.96,259
Bangalore,9,4,3,27.5,276
Bangalore,10,4,3,32.28,328
Bangalore,11,4,3,29.74,177
Bangalore,12,4,3,27.75,194
Bangalore,13,4,3,33.21,160
Bangalore,14,4,3,37.37,109
Bangalore,15,4,3,35.64,124
Bangalore,16,4,3,27.61,201
Bangalore,17,4,3,34.1,282
Bangalore,18,4,3,31.24,310
Bangalore,19,4,3,36.84,294
Bangalore,20,4,3,41.1,270
Bangalore,21,4,3,32.52,137
Bangalore,22,4,3,35.45,108
Bangalore,23,4,3,31.9,110
Bangalore,0,5,3,25.21,53
Bangalore,1,5,3,21.85,26
Bangalore,2,5,3,23.98,51
Bangalore,3,5,3,21.43,48
Bangalore,4,5,3,24.91,23
Bangalore,5,5,3,36.3,20
Bangalore,6,5,3,29.57,156
Bangalore,7,5,3,27.01,281
Bangalore,8,5,3,36.68,234
Bangalore,9,5,3,25.77,242
Bangalore,10,5,3,28.28,282
Bangalore,11,5,3,24.59,142
Bangalore,12,5,3,25.5,171
Bangalore,13,5,3,37.27,144
Bangalore,14,5,3,26.68,166
Bangalore,15,5,3,29.82,139
Bangalore,16,5,3,30.47,155
Bangalore,17,5,3,37.71,241
Bangalore,18,5,3,41.25,227
Bangalore,19,5,3,29.29,270
Bangalore,20,5,3,41.87,220
Bangalore,21,5,3,43.27,124
Bangalore,22,5,3,35.27,122
Bangalore,23,5,3,30.67,166
Bangalore,0,6,3,21.62,49
Bangalore,1,6,3,20.71,57
Bangalore,2,6,3,34.6,31
Bangalore,3,6,3,23.8,38
Bangalore,4,6,3,33.12,20
Bangalore,5,6,3,32.56,22
Bangalore,6,6,3,23.72,168
Bangalore,7,6,3,27.85,237
Bangalore,8,6,3,31.33,247
Bangalore,9,6,3,30.72,199
Bangalore,10,6,3,32.78,202
Bangalore,11,6,3,36.63,111
Bangalore,12,6,3,31.95,141
Bangalore,13,6,3,28.54,116
Bangalore,14,6,3,33.08,91
Bangalore,15,6,3,33.11,171
Bangalore,16,6,3,30.24,169
Bangalore,17,6,3,37.5,257
Bangalore,18,6,3,41.27,218
Bangalore,19,6,3,29.47,259
Bangalore,20,6,3,29.94,264
Bangalore,21,6,3,36.94,107
Bangalore,22,6,3,42.96,96
Bangalore,23,6,3,34.32,132
