City,Hour,Weekday,Junction,Temperature,TrafficFlow
Bangalore,0,0,2,28.54,45
Bangalore,1,0,2,25.22,22
Bangalore,2,0,2,25.04,37
Bangalore,3,0,2,24.59,58
Bangalore,4,0,2,25.66,44
Bangalore,5,0,2,33.11,40
Bangalore,6,0,2,30.69,159
Bangalore,7,0,2,29.66,218
Bangalore,8,0,2,33.77,300
Bangalore,9,0,2,32.12,217
Bangalore,10,0,2,27.83,212
Bangalore,11,0,2,33.63,124
Bangalore,12,0,2,36.47,102
Bangalore,13,0,2,34.61,107
Bangalore,14,0,2,39.82,103
Bangalore,15,0,2,28.26,139
Bangalore,16,0,2,31.6,180
Bangalore,17,0,2,35.29,274
Bangalore,18,0,2,28.19,247
Bangalore,19,0,2,28.71,290
Bangalore,20,0,2,30.09,297
Bangalore,21,0,2,41.56,152
Bangalore,22,0,2,41.97,158
Bangalore,23,0,2,30.82,153
Bangalore,0,1,2,29.43,38
Bangalore,1,1,2,31.01,38
Bangalore,2,1,2,27.61,48
Bangalore,3,1,2,25.16,38
Bangalore,4,1,2,27.3,49
Bangalore,5,1,2,33.4,21
Bangalore,6,1,2,27.95,134
Bangalore,7,1,2,27.56,220
Bangalore,8,1,2,27.02,266
Bangalore,9,1,2,26.93,223
Bangalore,10,1,2,29.49,241
Bangalore,11,1,2,33.68,121
Bangalore,12,1,2,25.16,97
Bangalore,13,1,2,37.57,134
Bangalore,14,1,2,27.68,106
Bangalore,15,1,2,27.64,157
Bangalore,16,1,2,32.66,124
Bangalore,17,1,2,32.8,285
Bangalore,18,1,2,40.53,228
Bangalore,19,1,2,33.54,225
Bangalore,20,1,2,42.04,270
Bangalore,21,1,2,34.54,139
Bangalore,22,1,2,29.56,98
Bangalore,23,1,2,33.92,168
Bangalore,0,2,2,20.92,49
Bangalore,1,2,2,28.84,48
Bangalore,2,2,2,33.3,25
Bangalore,3,2,2,28.31,26
Bangalore,4,2,2,22.88,61
Bangalore,5,2,2,27.64,44
Bangalore,6,2,2,28.7,152
Bangalore,7,2,2,23.21,248
Bangalore,8,2,2,35.02,249
Bangalore,9,2,2,26.01,294
Bangalore,10,2,2,24.91,241
Bangalore,11,2,2,30.79,107
Bangalore,12,2,2,27.65,122
Bangalore,13,2,2,32.02,109
Bangalore,14,2,2,34.19,98
Bangalore,15,2,2,27.9,115
Bangalore,16,2,2,37.5,175
Bangalore,17,2,2,34.95,286
Bangalore,18,2,2,34.41,248
Bangalore,19,2,2,39.16,262
Bangalore,20,2,2,28.43,212
Bangalore,21,2,2,40.54,118
Bangalore,22,2,2,39.76,130
Bangalore,23,2,2,33.95,155
Bangalore,0,3,2,23.56,55
Bangalore,1,3,2,29.0,64
Bangalore,2,3,2,33.14,62
Bangalore,3,3,2,30.86,47
Bangalore,4,3,2,35.01,65
Bangalore,5,3,2,23.44,21
Bangalore,6,3,2,36.07,158
Bangalore,7,3,2,33.3,244
Bangalore,8,3,2,35.97,280
Bangalore,9,3,2,31.7,270
Bangalore,10,3,2,31.44,220
Bangalore,11,3,2,37.59,98
Bangalore,12,3,2,29.99,134
Bangalore,13,3,2,38.44,121
Bangalore,14,3,2,38.39,130
Bangalore,15,3,2,40.08,146
Bangalore,16,3,2,36.23,111
Bangalore,17,3,2,28.38,264
Bangalore,18,3,2,28.32,225
Bangalore,19,3,2,40.78,263
Bangalore,20,3,2,41.54,294
Bangalore,21,3,2,42.52,155
Bangalore,22,3,2,30.8,112
Bangalore,23,3,2,41.04,140
Bangalore,0,4,2,27.72,62
Bangalore,1,4,2,26.81,37
Bangalore,2,4,2,34.7,57
Bangalore,3,4,2,28.68,36
Bangalore,4,4,2,26.78,64
Bangalore,5,4,2,22.73,31
Bangalore,6,4,2,35.24,145
Bangalore,7,4,2,35.16,289
Bangalore,8,4,2,37.42,239
Bangalore,9,4,2,25.61,254
Bangalore,10,4,2,25.0,257
Bangalore,11,4,2,37.39,130
Bangalore,12,4,2,38.27,116
Bangalore,13,4,2,31.91,163
Bangalore,14,4,2,26.14,118
Bangalore,15,4,2,33.56,173
Bangalore,16,4,2,36.48,109
Bangalore,17,4,2,28.23,299
Bangalore,18,4,2,29.08,248
Bangalore,19,4,2,37.87,259
Bangalore,20,4,2,42.92,230
Bangalore,21,4,2,36.73,189
Bangalore,22,4,2,35.18,185
Bangalore,23,4,2,44.48,114
Bangalore,0,5,2,28.65,27
Bangalore,1,5,2,25.38,30
Bangalore,2,5,2,32.79,29
Bangalore,3,5,2,28.67,43
Bangalore,4,5,2,30.66,49
Bangalore,5,5,2,32.62,28
Bangalore,6,5,2,26.23,113
Bangalore,7,5,2,23.01,218
Bangalore,8,5,2,34.15,191
Bangalore,9,5,2,34.72,220
Bangalore,10,5,2,38.96,227
Bangalore,11,5,2,37.38,141
Bangalore,12,5,2,27.78,113
Bangalore,13,5,2,27.53,90
Bangalore,14,5,2,33.59,91
Bangalore,15,5,2,27.7,87
Bangalore,16,5,2,36.88,138
Bangalore,17,5,2,31.8,179
Bangalore,18,5,2,37.39,197
Bangalore,19,5,2,29.82,243
Bangalore,20,5,2,33.73,237
Bangalore,21,5,2,37.11,88
Bangalore,22,5,2,39.13,142
Bangalore,23,5,2,42.14,96
Bangalore,0,6,2,25.24,54
Bangalore,1,6,2,34.77,23
Bangalore,2,6,2,35.14,49
Bangalore,3,6,2,33.88,37
Bangalore,4,6,2,35.91,42
Bangalore,5,6,2,25.02,37
Bangalore,6,6,2,35.62,133
Bangalore,7,6,2,34.57,205
Bangalore,8,6,2,23.88,237
Bangalore,9,6,2,23.9,226
Bangalore,10,6,2,29.62,188
Bangalore,11,6,2,29.12,91
Bangalore,12,6,2,26.63,136
Bangalore,13,6,2,40.13,155
Bangalore,14,6,2,29.4,121
Bangalore,15,6,2,29.48,83
Bangalore,16,6,2,36.52,85
Bangalore,17,6,2,27.72,245
Bangalore,18,6,2,34.31,241
Bangalore,19,6,2,29.25,254
Bangalore,20,6,2,30.18,201
Bangalore,21,6,2,33.34,104
Bangalore,22,6,2,33.59,104
Bangalore,23,6,2,31.01,142
