City,Hour,Weekday,Junction,Temperature,TrafficFlow
Bangalore,0,0,1,34.49,34
Bangalore,1,0,1,28.87,24
Bangalore,2,0,1,20.86,41
Bangalore,3,0,1,32.09,26
Bangalore,4,0,1,35.34,22
Bangalore,5,0,1,28.48,58
Bangalore,6,0,1,36.89,91
Bangalore,7,0,1,24.22,268
Bangalore,8,0,1,35.65,235
Bangalore,9,0,1,35.54,216
Bangalore,10,0,1,37.76,209
Bangalore,11,0,1,35.71,154
Bangalore,12,0,1,34.51,106
Bangalore,13,0,1,31.69,95
Bangalore,14,0,1,32.46,149
Bangalore,15,0,1,29.04,140
Bangalore,16,0,1,28.77,152
Bangalore,17,0,1,34.67,232
Bangalore,18,0,1,29.13,195
Bangalore,19,0,1,41.19,260
Bangalore,20,0,1,34.78,192
Bangalore,21,0,1,32.11,154
Bangalore,22,0,1,32.32,154
Bangalore,23,0,1,33.98,96
Bangalore,0,1,1,26.89,38
Bangalore,1,1,1,33.01,43
Bangalore,2,1,1,33.37,48
Bangalore,3,1,1,25.55,42
Bangalore,4,1,1,33.1,28
Bangalore,5,1,1,33.82,52
Bangalore,6,1,1,31.53,85
Bangalore,7,1,1,30.65,221
Bangalore,8,1,1,36.42,266
Bangalore,9,1,1,37.74,252
Bangalore,10,1,1,36.35,192
Bangalore,11,1,1,27.37,136
Bangalore,12,1,1,37.51,141
Bangalore,13,1,1,26.85,108
Bangalore,14,1,1,35.96,132
Bangalore,15,1,1,37.37,120
Bangalore,16,1,1,34.1,87
Bangalore,17,1,1,39.17,262
Bangalore,18,1,1,33.55,205
Bangalore,19,1,1,32.14,198
Bangalore,20,1,1,28.79,204
Bangalore,21,1,1,33.52,92
Bangalore,22,1,1,40.12,143
Bangalore,23,1,1,37.31,87
Bangalore,0,2,1,21.22,39
Bangalore,1,2,1,32.54,25
Bangalore,2,2,1,25.65,21
Bangalore,3,2,1,34.26,17
Bangalore,4,2,1,31.0,19
Bangalore,5,2,1,36.45,26
Bangalore,6,2,1,34.12,96
Bangalore,7,2,1,27.87,238
Bangalore,8,2,1,35.47,213
Bangalore,9,2,1,28.41,231
Bangalore,10,2,1,32.43,240
Bangalore,11,2,1,31.8,152
Bangalore,12,2,1,28.23,90
Bangalore,13,2,1,27.5,101
Bangalore,14,2,1,39.99,90
Bangalore,15,2,1,31.55,107
Bangalore,16,2,1,38.72,126
Bangalore,17,2,1,39.01,270
Bangalore,18,2,1,32.66,208
Bangalore,19,2,1,42.43,219
Bangalore,20,2,1,36.73,228
Bangalore,21,2,1,37.01,164
Bangalore,22,2,1,37.87,154
Bangalore,23,2,1,34.41,113
Bangalore,0,3,1,34.93,39
Bangalore,1,3,1,20.78,56
Bangalore,2,3,1,35.39,22
Bangalore,3,3,1,30.89,22
Bangalore,4,3,1,25.3,22
Bangalore,5,3,1,36.31,25
Bangalore,6,3,1,26.95,107
Bangalore,7,3,1,37.17,266
