City,Hour,Weekday,Junction,Temperature,TrafficFlow
Bidar,0,0,4,25.9,16
Bidar,1,0,4,24.66,21
Bidar,2,0,4,34.64,25
Bidar,3,0,4,36.03,12
Bidar,4,0,4,27.63,10
Bidar,5,0,4,33.52,18
Bidar,6,0,4,28.18,67
Bidar,7,0,4,27.55,79
Bidar,8,0,4,28.81,87
Bidar,9,0,4,35.63,104
Bidar,10,0,4,32.33,98
Bidar,11,0,4,38.09,86
Bidar,12,0,4,36.81,87
Bidar,13,0,4,36.29,65
Bidar,14,0,4,26.66,49
Bidar,15,0,4,40.85,59
Bidar,16,0,4,34.77,52
Bidar,17,0,4,31.49,83
Bidar,18,0,4,31.79,65
Bidar,19,0,4,40.67,59
Bidar,20,0,4,31.6,62
Bidar,21,0,4,36.04,52
Bidar,22,0,4,30.05,88
Bidar,23,0,4,29.71,89
Bidar,0,1,4,28.52,10
Bidar,1,1,4,28.41,20
Bidar,2,1,4,22.31,16
Bidar,3,1,4,30.13,29
Bidar,4,1,4,30.88,14
Bidar,5,1,4,36.82,28
Bidar,6,1,4,36.26,47
Bidar,7,1,4,34.81,59
Bidar,8,1,4,25.86,79
Bidar,9,1,4,34.89,90
Bidar,10,1,4,32.65,104
Bidar,11,1,4,31.8,51
Bidar,12,1,4,26.47,81
Bidar,13,1,4,31.27,56
Bidar,14,1,4,37.62,59
Bidar,15,1,4,41.07,49
Bidar,16,1,4,36.89,83
Bidar,17,1,4,28.16,92
Bidar,18,1,4,37.98,72
Bidar,19,1,4,29.28,70
Bidar,20,1,4,39.21,70
Bidar,21,1,4,38.25,70
Bidar,22,1,4,33.32,72
Bidar,23,1,4,38.62,86
Bidar,0,2,4,31.86,18
Bidar,1,2,4,34.31,10
Bidar,2,2,4,22.88,16
Bidar,3,2,4,30.86,28
Bidar,4,2,4,23.48,17
Bidar,5,2,4,25.32,12
Bidar,6,2,4,33.97,79
Bidar,7,2,4,31.95,82
Bidar,8,2,4,25.21,63
Bidar,9,2,4,34.39,63
Bidar,10,2,4,27.1,103
Bidar,11,2,4,28.32,52
Bidar,12,2,4,25.13,51
Bidar,13,2,4,34.49,71
Bidar,14,2,4,33.0,60
Bidar,15,2,4,37.52,57
Bidar,16,2,4,27.37,81
Bidar,17,2,4,34.52,95
Bidar,18,2,4,36.14,94
Bidar,19,2,4,35.6,70
Bidar,20,2,4,32.26,103
Bidar,21,2,4,30.25,54
Bidar,22,2,4,41.07,49
Bidar,23,2,4,35.83,66
Bidar,0,3,4,27.45,28
Bidar,1,3,4,20.82,25
Bidar,2,3,4,32.77,18
Bidar,3,3,4,28.45,31
Bidar,4,3,4,35.68,20
Bidar,5,3,4,30.08,29
Bidar,6,3,4,27.48,71
Bidar,7,3,4,24.18,80
Bidar,8,3,4,31.86,66
Bidar,9,3,4,31.18,59
Bidar,10,3,4,31.06,96
Bidar,11,3,4,27.77,64
Bidar,12,3,4,31.94,56
Bidar,13,3,4,30.47,73
Bidar,14,3,4,32.09,86
Bidar,15,3,4,37.06,71
Bidar,16,3,4,27.99,55
Bidar,17,3,4,34.29,64
Bidar,18,3,4,31.09,95
Bidar,19,3,4,32.18,65
Bidar,20,3,4,30.46,93
Bidar,21,3,4,39.05,81
Bidar,22,3,4,38.72,58
Bidar,23,3,4,37.6,55
Bidar,0,4,4,21.55,13
Bidar,1,4,4,25.5,14
Bidar,2,4,4,34.5,28
Bidar,3,4,4,30.77,27
Bidar,4,4,4,28.73,17
Bidar,5,4,4,35.85,27
Bidar,6,4,4,37.46,55
Bidar,7,4,4,34.59,98
Bidar,8,4,4,24.81,71
Bidar,9,4,4,33.94,69
Bidar,10,4,4,25.74,78
Bidar,11,4,4,32.79,90
Bidar,12,4,4,30.79,57
Bidar,13,4,4,25.59,62
Bidar,14,4,4,31.5,78
Bidar,15,4,4,37.89,75
Bidar,16,4,4,38.45,54
Bidar,17,4,4,28.57,77
Bidar,18,4,4,36.25,77
Bidar,19,4,4,34.3,85
Bidar,20,4,4,32.18,74
Bidar,21,4,4,35.59,58
Bidar,22,4,4,36.14,46
Bidar,23,4,4,38.34,70
Bidar,0,5,4,25.53,18
Bidar,1,5,4,30.82,12
Bidar,2,5,4,25.3,16
Bidar,3,5,4,30.93,19
Bidar,4,5,4,34.84,10
Bidar,5,5,4,27.38,22
Bidar,6,5,4,28.64,42
Bidar,7,5,4,25.13,59
Bidar,8,5,4,32.6,59
Bidar,9,5,4,27.75,78
Bidar,10,5,4,27.75,57
Bidar,11,5,4,32.4,58
Bidar,12,5,4,26.38,70
Bidar,13,5,4,34.98,43
Bidar,14,5,4,28.18,59
Bidar,15,5,4,35.06,56
Bidar,16,5,4,41.6,43
Bidar,17,5,4,36.38,87
Bidar,18,5,4,35.68,72
Bidar,19,5,4,39.71,69
Bidar,20,5,4,31.08,65
Bidar,21,5,4,39.33,43
Bidar,22,5,4,36.51,55
Bidar,23,5,4,44.42,72
Bidar,0,6,4,25.98,11
Bidar,1,6,4,30.58,24
Bidar,2,6,4,26.32,10
Bidar,3,6,4,34.33,13
Bidar,4,6,4,27.37,21
Bidar,5,6,4,33.89,26
Bidar,6,6,4,29.34,43
Bidar,7,6,4,34.23,88
Bidar,8,6,4,25.48,62
Bidar,9,6,4,38.69,51
Bidar,10,6,4,28.76,60
Bidar,11,6,4,33.24,66
Bidar,12,6,4,27.43,43
Bidar,13,6,4,38.16,75
Bidar,14,6,4,26.19,54
Bidar,15,6,4,36.37,62
Bidar,16,6,4,40.79,47
Bidar,17,6,4,41.9,60
Bidar,18,6,4,37.97,63
Bidar,19,6,4,37.03,78
Bidar,20,6,4,29.79,68
Bidar,21,6,4,31.69,53
Bidar,22,6,4,37.23,74
Bidar,23,6,4,29.8,72
