City,Hour,Weekday,Junction,Temperature,TrafficFlow
Bidar,0,0,3,33.26,24
Bidar,1,0,3,23.43,12
Bidar,2,0,3,30.67,21
Bidar,3,0,3,31.23,21
Bidar,4,0,3,36.12,10
Bidar,5,0,3,32.86,28
Bidar,6,0,3,35.4,82
Bidar,7,0,3,31.8,55
Bidar,8,0,3,27.59,75
Bidar,9,0,3,27.14,85
Bidar,10,0,3,35.29,92
Bidar,11,0,3,36.84,64
Bidar,12,0,3,29.31,56
Bidar,13,0,3,30.8,60
Bidar,14,0,3,26.69,82
Bidar,15,0,3,40.7,56
Bidar,16,0,3,32.61,81
Bidar,17,0,3,31.58,66
Bidar,18,0,3,41.87,68
Bidar,19,0,3,31.08,88
Bidar,20,0,3,32.4,75
Bidar,21,0,3,31.19,70
Bidar,22,0,3,30.2,57
Bidar,23,0,3,36.39,59
Bidar,0,1,3,31.24,10
Bidar,1,1,3,23.25,11
Bidar,2,1,3,26.82,26
Bidar,3,1,3,31.78,15
Bidar,4,1,3,29.16,12
Bidar,5,1,3,31.45,24
Bidar,6,1,3,29.38,77
Bidar,7,1,3,25.35,81
Bidar,8,1,3,36.45,78
Bidar,9,1,3,24.93,88
Bidar,10,1,3,26.06,67
Bidar,11,1,3,25.51,58
Bidar,12,1,3,32.41,69
Bidar,13,1,3,34.02,68
Bidar,14,1,3,26.24,58
Bidar,15,1,3,41.14,82
Bidar,16,1,3,37.63,49
Bidar,17,1,3,41.1,78
Bidar,18,1,3,37.75,91
Bidar,19,1,3,30.92,69
Bidar,20,1,3,36.75,64
Bidar,21,1,3,38.94,53
Bidar,22,1,3,32.61,43
Bidar,23,1,3,30.09,56
Bidar,0,2,3,22.1,25
Bidar,1,2,3,26.93,15
Bidar,2,2,3,22.89,21
Bidar,3,2,3,29.67,10
Bidar,4,2,3,30.57,22
Bidar,5,2,3,25.22,21
Bidar,6,2,3,31.98,56
Bidar,7,2,3,37.57,87
Bidar,8,2,3,31.68,63
Bidar,9,2,3,37.59,58
Bidar,10,2,3,34.39,66
Bidar,11,2,3,34.57,61
Bidar,12,2,3,34.69,73
Bidar,13,2,3,32.82,74
Bidar,14,2,3,30.04,58
Bidar,15,2,3,36.54,52
Bidar,16,2,3,33.59,44
Bidar,17,2,3,32.39,66
Bidar,18,2,3,34.56,93
Bidar,19,2,3,42.53,77
Bidar,20,2,3,30.71,86
Bidar,21,2,3,32.01,67
Bidar,22,2,3,35.21,76
Bidar,23,2,3,44.42,77
Bidar,0,3,3,22.88,28
Bidar,1,3,3,22.2,22
Bidar,2,3,3,31.84,13
Bidar,3,3,3,28.18,23
Bidar,4,3,3,30.4,10
Bidar,5,3,3,32.92,14
Bidar,6,3,3,28.57,77
Bidar,7,3,3,33.14,59
Bidar,8,3,3,37.21,94
Bidar,9,3,3,25.95,58
Bidar,10,3,3,29.08,81
Bidar,11,3,3,25.12,67
Bidar,12,3,3,30.51,71
Bidar,13,3,3,40.0,49
Bidar,14,3,3,36.96,51
Bidar,15,3,3,39.52,77
Bidar,16,3,3,36.15,53
Bidar,17,3,3,32.26,65
Bidar,18,3,3,35.73,88
Bidar,19,3,3,41.67,67
Bidar,20,3,3,43.32,71
Bidar,21,3,3,40.7,58
Bidar,22,3,3,38.67,47
Bidar,23,3,3,42.31,54
Bidar,0,4,3,31.19,16
Bidar,1,4,3,33.12,10
Bidar,2,4,3,32.9,15
Bidar,3,4,3,26.27,16
Bidar,4,4,3,31.85,18
Bidar,5,4,3,28.31,26
Bidar,6,4,3,22.87,45
Bidar,7,4,3,27.84,86
Bidar,8,4,3,24.84,89
Bidar,9,4,3,31.46,67
Bidar,10,4,3,36.59,55
Bidar,11,4,3,29.1,55
Bidar,12,4,3,30.49,69
Bidar,13,4,3,30.15,77
Bidar,14,4,3,39.65,72
Bidar,15,4,3,31.79,63
Bidar,16,4,3,34.24,54
Bidar,17,4,3,40.58,65
Bidar,18,4,3,33.72,78
Bidar,19,4,3,35.53,58
Bidar,20,4,3,29.32,89
Bidar,21,4,3,43.15,81
Bidar,22,4,3,42.59,80
Bidar,23,4,3,35.53,61
Bidar,0,5,3,31.96,10
Bidar,1,5,3,30.06,10
Bidar,2,5,3,32.52,15
Bidar,3,5,3,32.52,19
Bidar,4,5,3,24.08,10
Bidar,5,5,3,36.76,16
Bidar,6,5,3,28.16,49
Bidar,7,5,3,25.08,66
Bidar,8,5,3,27.83,54
Bidar,9,5,3,33.5,62
Bidar,10,5,3,33.1,56
Bidar,11,5,3,28.18,49
Bidar,12,5,3,27.66,54
Bidar,13,5,3,37.85,58
Bidar,14,5,3,32.09,44
Bidar,15,5,3,28.6,54
Bidar,16,5,3,37.92,62
Bidar,17,5,3,35.56,69
Bidar,18,5,3,31.92,52
Bidar,19,5,3,29.36,60
Bidar,20,5,3,33.62,63
Bidar,21,5,3,37.15,40
Bidar,22,5,3,39.31,57
Bidar,23,5,3,32.59,37
Bidar,0,6,3,32.75,15
Bidar,1,6,3,29.48,10
Bidar,2,6,3,29.83,10
Bidar,3,6,3,30.36,20
Bidar,4,6,3,23.81,23
Bidar,5,6,3,28.23,16
Bidar,6,6,3,33.14,48
Bidar,7,6,3,36.03,78
Bidar,8,6,3,29.55,57
Bidar,9,6,3,37.04,48
Bidar,10,6,3,35.86,61
Bidar,11,6,3,36.43,67
Bidar,12,6,3,28.13,41
Bidar,13,6,3,31.07,46
Bidar,14,6,3,26.54,52
Bidar,15,6,3,36.11,51
