City,Hour,Weekday,Junction,Temperature,TrafficFlow
Bidar,0,0,2,29.04,14
Bidar,1,0,2,26.31,25
Bidar,2,0,2,28.53,25
Bidar,3,0,2,26.53,24
Bidar,4,0,2,34.35,12
Bidar,5,0,2,24.25,10
Bidar,6,0,2,30.93,65
Bidar,7,0,2,33.84,84
Bidar,8,0,2,32.01,69
Bidar,9,0,2,37.05,79
Bidar,10,0,2,37.8,79
Bidar,11,0,2,34.65,66
Bidar,12,0,2,39.48,46
Bidar,13,0,2,34.15,48
Bidar,14,0,2,28.34,38
Bidar,15,0,2,35.29,57
Bidar,16,0,2,29.34,73
Bidar,17,0,2,33.89,64
Bidar,18,0,2,28.57,82
Bidar,19,0,2,28.0,74
Bidar,20,0,2,42.41,54
Bidar,21,0,2,38.19,73
Bidar,22,0,2,39.03,56
Bidar,23,0,2,44.46,57
Bidar,0,1,2,29.83,14
Bidar,1,1,2,34.36,11
Bidar,2,1,2,32.02,11
Bidar,3,1,2,25.53,14
Bidar,4,1,2,29.71,14
Bidar,5,1,2,29.4,20
Bidar,6,1,2,28.03,72
Bidar,7,1,2,26.42,76
Bidar,8,1,2,25.32,59
Bidar,9,1,2,36.49,70
Bidar,10,1,2,25.77,72
Bidar,11,1,2,39.49,57
Bidar,12,1,2,27.95,40
Bidar,13,1,2,39.63,69
Bidar,14,1,2,29.7,39
Bidar,15,1,2,39.03,46
Bidar,16,1,2,37.64,55
Bidar,17,1,2,35.9,74
Bidar,18,1,2,34.63,85
Bidar,19,1,2,41.68,86
Bidar,20,1,2,35.72,76
Bidar,21,1,2,30.81,39
Bidar,22,1,2,37.23,72
Bidar,23,1,2,34.08,74
Bidar,0,2,2,24.64,18
Bidar,1,2,2,30.6,16
Bidar,2,2,2,24.44,23
Bidar,3,2,2,25.31,20
Bidar,4,2,2,32.33,16
Bidar,5,2,2,28.86,20
Bidar,6,2,2,33.54,66
Bidar,7,2,2,24.69,51
Bidar,8,2,2,30.43,74
Bidar,9,2,2,37.64,60
Bidar,10,2,2,38.97,52
Bidar,11,2,2,25.83,55
Bidar,12,2,2,34.63,72
Bidar,13,2,2,40.42,54
Bidar,14,2,2,31.19,50
Bidar,15,2,2,27.39,40
Bidar,16,2,2,37.79,41
Bidar,17,2,2,37.49,84
Bidar,18,2,2,41.61,63
Bidar,19,2,2,33.3,84
Bidar,20,2,2,37.33,49
Bidar,21,2,2,35.06,75
Bidar,22,2,2,39.46,57
Bidar,23,2,2,32.23,44
Bidar,0,3,2,27.25,24
Bidar,1,3,2,24.46,16
Bidar,2,3,2,33.48,17
Bidar,3,3,2,24.02,22
Bidar,4,3,2,22.88,13
Bidar,5,3,2,22.62,19
Bidar,6,3,2,25.49,52
Bidar,7,3,2,36.27,86
Bidar,8,3,2,27.72,49
Bidar,9,3,2,24.09,54
Bidar,10,3,2,32.95,75
Bidar,11,3,2,27.59,46
Bidar,12,3,2,37.37,73
Bidar,13,3,2,38.63,45
Bidar,14,3,2,28.6,74
Bidar,15,3,2,41.04,42
Bidar,16,3,2,32.89,73
Bidar,17,3,2,36.65,55
Bidar,18,3,2,37.9,63
Bidar,19,3,2,34.13,76
Bidar,20,3,2,40.63,60
Bidar,21,3,2,33.91,73
Bidar,22,3,2,31.52,72
Bidar,23,3,2,33.25,57
Bidar,0,4,2,24.76,16
Bidar,1,4,2,32.67,10
Bidar,2,4,2,23.23,15
Bidar,3,4,2,25.03,10
Bidar,4,4,2,28.53,10
Bidar,5,4,2,24.36,19
Bidar,6,4,2,23.33,75
Bidar,7,4,2,36.31,79
Bidar,8,4,2,26.34,58
Bidar,9,4,2,30.09,72
Bidar,10,4,2,30.85,51
Bidar,11,4,2,27.17,44
Bidar,12,4,2,39.76,59
Bidar,13,4,2,34.55,72
Bidar,14,4,2,30.47,74
Bidar,15,4,2,34.58,58
Bidar,16,4,2,33.55,49
Bidar,17,4,2,27.79,56
Bidar,18,4,2,41.87,81
Bidar,19,4,2,29.77,75
Bidar,20,4,2,33.23,60
Bidar,21,4,2,29.73,49
Bidar,22,4,2,40.48,62
Bidar,23,4,2,38.79,55
Bidar,0,5,2,23.35,21
Bidar,1,5,2,21.01,14
Bidar,2,5,2,28.75,17
Bidar,3,5,2,27.41,10
Bidar,4,5,2,33.75,19
Bidar,5,5,2,23.97,20
Bidar,6,5,2,28.5,63
Bidar,7,5,2,29.54,69
Bidar,8,5,2,32.93,54
Bidar,9,5,2,36.72,45
Bidar,10,5,2,34.21,58
Bidar,11,5,2,31.8,57
Bidar,12,5,2,33.34,62
Bidar,13,5,2,26.87,62
Bidar,14,5,2,27.44,33
Bidar,15,5,2,26.68,63
Bidar,16,5,2,34.95,57
Bidar,17,5,2,33.21,48
Bidar,18,5,2,33.42,57
Bidar,19,5,2,33.34,48
Bidar,20,5,2,37.98,64
Bidar,21,5,2,38.19,39
Bidar,22,5,2,29.49,36
Bidar,23,5,2,40.57,57
Bidar,0,6,2,22.71,10
Bidar,1,6,2,20.52,14
Bidar,2,6,2,23.42,14
Bidar,3,6,2,34.34,15
Bidar,4,6,2,31.59,16
Bidar,5,6,2,27.77,14
Bidar,6,6,2,23.37,60
Bidar,7,6,2,33.63,45
Bidar,8,6,2,37.47,48
Bidar,9,6,2,37.5,47
Bidar,10,6,2,33.56,67
Bidar,11,6,2,37.71,46
Bidar,12,6,2,39.93,53
Bidar,13,6,2,37.07,37
Bidar,14,6,2,35.67,46
Bidar,15,6,2,36.45,46
Bidar,16,6,2,27.26,54
Bidar,17,6,2,36.5,63
Bidar,18,6,2,40.27,58
Bidar,19,6,2,28.08,58
Bidar,20,6,2,41.13,60
Bidar,21,6,2,31.47,35
Bidar,22,6,2,38.35,58
Bidar,23,6,2,30.91,36
