City,Hour,Weekday,Junction,Temperature,TrafficFlow
Bidar,0,0,1,21.29,17
Bidar,1,0,1,25.59,21
Bidar,2,0,1,21.46,18
Bidar,3,0,1,30.4,20
Bidar,4,0,1,25.23,14
Bidar,5,0,1,34.06,13
Bidar,6,0,1,33.4,50
Bidar,7,0,1,23.95,46
Bidar,8,0,1,31.7,51
Bidar,9,0,1,27.84,72
Bidar,10,0,1,25.49,62
Bidar,11,0,1,29.66,36
Bidar,12,0,1,38.2,55
Bidar,13,0,1,32.5,47
Bidar,14,0,1,33.56,45
Bidar,15,0,1,26.5,35
Bidar,16,0,1,30.84,34
Bidar,17,0,1,32.04,57
Bidar,18,0,1,39.66,54
Bidar,19,0,1,33.62,64
Bidar,20,0,1,36.64,53
Bidar,21,0,1,41.05,45
Bidar,22,0,1,29.35,65
Bidar,23,0,1,35.77,58
Bidar,0,1,1,31.98,22
Bidar,1,1,1,26.16,11
Bidar,2,1,1,31.09,19
Bidar,3,1,1,30.68,18
Bidar,4,1,1,22.23,22
Bidar,5,1,1,27.37,17
Bidar,6,1,1,31.14,46
Bidar,7,1,1,28.17,70
Bidar,8,1,1,26.58,68
Bidar,9,1,1,26.31,44
Bidar,10,1,1,31.44,64
Bidar,11,1,1,38.32,46
Bidar,12,1,1,31.97,48
Bidar,13,1,1,36.42,63
Bidar,14,1,1,34.34,38
Bidar,15,1,1,26.99,62
Bidar,16,1,1,40.26,34
Bidar,17,1,1,33.39,57
Bidar,18,1,1,34.18,59
Bidar,19,1,1,31.81,55
Bidar,20,1,1,32.13,53
Bidar,21,1,1,40.49,41
Bidar,22,1,1,31.9,44
Bidar,23,1,1,33.43,49
Bidar,0,2,1,25.4,10
Bidar,1,2,1,24.34,10
Bidar,2,2,1,32.68,21
Bidar,3,2,1,34.57,12
Bidar,4,2,1,21.77,17
Bidar,5,2,1,27.78,11
Bidar,6,2,1,22.57,34
Bidar,7,2,1,27.99,62
Bidar,8,2,1,32.62,50
Bidar,9,2,1,26.48,50
Bidar,10,2,1,35.78,47
Bidar,11,2,1,36.05,48
Bidar,12,2,1,37.92,41
Bidar,13,2,1,26.8,65
Bidar,14,2,1,37.31,56
Bidar,15,2,1,27.94,59
Bidar,16,2,1,38.68,62
Bidar,17,2,1,28.06,75
Bidar,18,2,1,31.97,51
Bidar,19,2,1,38.48,58
Bidar,20,2,1,42.87,45
Bidar,21,2,1,32.09,54
Bidar,22,2,1,32.05,57
Bidar,23,2,1,37.69,36
Bidar,0,3,1,20.27,10
Bidar,1,3,1,21.18,15
Bidar,2,3,1,23.82,14
Bidar,3,3,1,27.7,10
Bidar,4,3,1,33.39,11
Bidar,5,3,1,23.76,10
Bidar,6,3,1,35.34,35
Bidar,7,3,1,30.68,54
Bidar,8,3,1,25.75,52
Bidar,9,3,1,32.09,64
Bidar,10,3,1,37.19,70
Bidar,11,3,1,34.3,39
Bidar,12,3,1,37.05,61
Bidar,13,3,1,33.9,49
Bidar,14,3,1,27.35,52
Bidar,15,3,1,28.2,54
Bidar,16,3,1,30.56,37
Bidar,17,3,1,32.35,68
Bidar,18,3,1,37.21,60
Bidar,19,3,1,40.0,76
Bidar,20,3,1,37.48,56
Bidar,21,3,1,37.26,34
Bidar,22,3,1,34.53,67
Bidar,23,3,1,35.09,54
Bidar,0,4,1,26.64,16
Bidar,1,4,1,23.75,17
Bidar,2,4,1,27.8,11
Bidar,3,4,1,29.78,11
Bidar,4,4,1,23.15,22
Bidar,5,4,1,23.48,11
Bidar,6,4,1,24.53,67
Bidar,7,4,1,26.73,63
Bidar,8,4,1,30.75,72
Bidar,9,4,1,26.1,73
Bidar,10,4,1,27.68,45
Bidar,11,4,1,29.72,38
Bidar,12,4,1,38.61,50
Bidar,13,4,1,38.25,51
Bidar,14,4,1,29.29,55
Bidar,15,4,1,29.58,56
Bidar,16,4,1,32.74,41
Bidar,17,4,1,41.29,57
Bidar,18,4,1,41.72,45
Bidar,19,4,1,31.41,44
Bidar,20,4,1,34.69,56
Bidar,21,4,1,34.56,59
Bidar,22,4,1,30.15,40
Bidar,23,4,1,42.72,41
Bidar,0,5,1,22.57,11
Bidar,1,5,1,24.25,13
Bidar,2,5,1,30.48,15
Bidar,3,5,1,31.69,18
Bidar,4,5,1,24.77,10
Bidar,5,5,1,29.17,11
Bidar,6,5,1,28.36,54
Bidar,7,5,1,25.99,55
Bidar,8,5,1,27.61,47
Bidar,9,5,1,33.08,61
Bidar,10,5,1,38.84,58
Bidar,11,5,1,33.42,47
Bidar,12,5,1,27.44,38
Bidar,13,5,1,28.64,47
Bidar,14,5,1,34.34,51
Bidar,15,5,1,32.68,31
Bidar,16,5,1,33.54,41
Bidar,17,5,1,41.62,49
Bidar,18,5,1,38.91,48
Bidar,19,5,1,33.86,65
Bidar,20,5,1,42.54,52
Bidar,21,5,1,42.78,29
Bidar,22,5,1,35.15,46
Bidar,23,5,1,42.37,28
Bidar,0,6,1,31.54,13
Bidar,1,6,1,29.68,10
Bidar,2,6,1,30.59,10
Bidar,3,6,1,27.07,10
Bidar,4,6,1,24.38,13
Bidar,5,6,1,32.79,10
Bidar,6,6,1,34.84,39
