City,Hour,Weekday,Junction,Temperature,TrafficFlow
Kalaburagi,0,0,4,30.23,32
Kalaburagi,1,0,4,21.78,28
Kalaburagi,2,0,4,34.04,16
Kalaburagi,3,0,4,33.84,23
Kalaburagi,4,0,4,22.1,37
Kalaburagi,5,0,4,31.88,39
Kalaburagi,6,0,4,28.0,113
Kalaburagi,7,0,4,34.97,111
Kalaburagi,8,0,4,30.34,131
Kalaburagi,9,0,4,36.53,124
Kalaburagi,10,0,4,39.09,111
Kalaburagi,11,0,4,27.09,103
Kalaburagi,12,0,4,35.89,65
Kalaburagi,13,0,4,34.28,90
Kalaburagi,14,0,4,33.07,120
Kalaburagi,15,0,4,39.15,70
Kalaburagi,16,0,4,30.57,78
Kalaburagi,17,0,4,27.85,135
Kalaburagi,18,0,4,41.8,105
Kalaburagi,19,0,4,35.68,150
Kalaburagi,20,0,4,38.97,103
Kalaburagi,21,0,4,28.8,110
Kalaburagi,22,0,4,42.53,112
Kalaburagi,23,0,4,41.12,109
Kalaburagi,0,1,4,29.08,43
Kalaburagi,1,1,4,27.92,14
Kalaburagi,2,1,4,29.34,40
Kalaburagi,3,1,4,26.73,20
Kalaburagi,4,1,4,27.88,23
Kalaburagi,5,1,4,32.95,27
Kalaburagi,6,1,4,26.47,92
Kalaburagi,7,1,4,35.18,90
Kalaburagi,8,1,4,27.12,147
Kalaburagi,9,1,4,31.05,127
Kalaburagi,10,1,4,26.4,132
Kalaburagi,11,1,4,35.73,83
Kalaburagi,12,1,4,35.95,88
Kalaburagi,13,1,4,36.26,101
Kalaburagi,14,1,4,28.29,87
Kalaburagi,15,1,4,39.88,89
Kalaburagi,16,1,4,40.22,123
Kalaburagi,17,1,4,36.41,131
Kalaburagi,18,1,4,42.07,128
Kalaburagi,19,1,4,28.3,94
Kalaburagi,20,1,4,35.39,104
Kalaburagi,21,1,4,33.36,105
Kalaburagi,22,1,4,34.41,111
Kalaburagi,23,1,4,39.47,57
Kalaburagi,0,2,4,32.14,20
Kalaburagi,1,2,4,34.11,24
Kalaburagi,2,2,4,25.87,34
Kalaburagi,3,2,4,27.93,16
Kalaburagi,4,2,4,36.22,12
Kalaburagi,5,2,4,23.97,36
Kalaburagi,6,2,4,32.65,103
Kalaburagi,7,2,4,25.87,147
Kalaburagi,8,2,4,31.38,148
Kalaburagi,9,2,4,25.67,102
Kalaburagi,10,2,4,25.21,106
Kalaburagi,11,2,4,36.21,63
Kalaburagi,12,2,4,38.22,72
Kalaburagi,13,2,4,35.39,58
Kalaburagi,14,2,4,40.1,78
Kalaburagi,15,2,4,39.7,65
Kalaburagi,16,2,4,31.32,95
Kalaburagi,17,2,4,35.46,150
Kalaburagi,18,2,4,36.01,149
Kalaburagi,19,2,4,42.23,133
Kalaburagi,20,2,4,33.77,132
Kalaburagi,21,2,4,38.99,117
Kalaburagi,22,2,4,40.16,80
Kalaburagi,23,2,4,43.9,109
Kalaburagi,0,3,4,28.23,42
Kalaburagi,1,3,4,32.57,25
Kalaburagi,2,3,4,23.83,18
Kalaburagi,3,3,4,30.89,19
Kalaburagi,4,3,4,27.37,21
Kalaburagi,5,3,4,34.26,17
Kalaburagi,6,3,4,33.19,103
Kalaburagi,7,3,4,36.12,152
Kalaburagi,8,3,4,32.37,92
Kalaburagi,9,3,4,32.66,110
Kalaburagi,10,3,4,28.67,105
Kalaburagi,11,3,4,38.29,66
Kalaburagi,12,3,4,34.79,73
Kalaburagi,13,3,4,29.86,121
Kalaburagi,14,3,4,39.13,64
Kalaburagi,15,3,4,35.4,112
