City,Hour,Weekday,Junction,Temperature,TrafficFlow
Kalaburagi,0,0,3,31.66,15
Kalaburagi,1,0,3,34.09,14
Kalaburagi,2,0,3,31.74,21
Kalaburagi,3,0,3,30.71,29
Kalaburagi,4,0,3,25.85,12
Kalaburagi,5,0,3,29.43,16
Kalaburagi,6,0,3,27.49,82
Kalaburagi,7,0,3,35.72,100
Kalaburagi,8,0,3,35.61,127
Kalaburagi,9,0,3,27.42,87
Kalaburagi,10,0,3,25.3,92
Kalaburagi,11,0,3,26.53,90
Kalaburagi,12,0,3,33.31,99
Kalaburagi,13,0,3,35.05,91
Kalaburagi,14,0,3,37.67,111
Kalaburagi,15,0,3,27.1,114
Kalaburagi,16,0,3,35.54,80
Kalaburagi,17,0,3,31.14,82
Kalaburagi,18,0,3,40.61,97
Kalaburagi,19,0,3,41.78,93
Kalaburagi,20,0,3,37.52,126
Kalaburagi,21,0,3,40.71,54
Kalaburagi,22,0,3,44.09,59
Kalaburagi,23,0,3,38.42,74
Kalaburagi,0,1,3,28.11,23
Kalaburagi,1,1,3,27.94,22
Kalaburagi,2,1,3,34.19,18
Kalaburagi,3,1,3,31.56,14
Kalaburagi,4,1,3,30.42,23
Kalaburagi,5,1,3,29.58,28
Kalaburagi,6,1,3,33.68,90
Kalaburagi,7,1,3,23.68,106
Kalaburagi,8,1,3,28.35,106
Kalaburagi,9,1,3,30.95,138
Kalaburagi,10,1,3,26.04,85
Kalaburagi,11,1,3,30.95,81
Kalaburagi,12,1,3,32.86,93
Kalaburagi,13,1,3,37.23,73
Kalaburagi,14,1,3,40.15,81
Kalaburagi,15,1,3,28.11,65
Kalaburagi,16,1,3,35.05,108
Kalaburagi,17,1,3,27.56,95
Kalaburagi,18,1,3,39.83,88
Kalaburagi,19,1,3,32.49,106
Kalaburagi,20,1,3,40.09,96
Kalaburagi,21,1,3,36.37,108
Kalaburagi,22,1,3,37.3,101
Kalaburagi,23,1,3,42.0,71
Kalaburagi,0,2,3,29.37,36
Kalaburagi,1,2,3,27.9,30
Kalaburagi,2,2,3,27.32,19
Kalaburagi,3,2,3,29.79,16
Kalaburagi,4,2,3,35.09,17
Kalaburagi,5,2,3,27.62,29
Kalaburagi,6,2,3,36.43,58
Kalaburagi,7,2,3,24.53,79
Kalaburagi,8,2,3,36.5,126
Kalaburagi,9,2,3,38.48,128
Kalaburagi,10,2,3,32.78,115
