City,Hour,Weekday,Junction,Temperature,TrafficFlow
Kalaburagi,0,0,2,20.4,19
Kalaburagi,1,0,2,30.84,31
Kalaburagi,2,0,2,35.14,35
Kalaburagi,3,0,2,26.72,36
Kalaburagi,4,0,2,36.41,25
Kalaburagi,5,0,2,28.53,13
Kalaburagi,6,0,2,26.64,76
Kalaburagi,7,0,2,36.27,118
Kalaburagi,8,0,2,32.01,95
Kalaburagi,9,0,2,26.53,104
Kalaburagi,10,0,2,38.13,109
Kalaburagi,11,0,2,26.33,53
Kalaburagi,12,0,2,29.83,88
Kalaburagi,13,0,2,40.06,81
Kalaburagi,14,0,2,33.35,96
Kalaburagi,15,0,2,37.96,76
Kalaburagi,16,0,2,31.37,94
Kalaburagi,17,0,2,27.29,123
Kalaburagi,18,0,2,31.08,122
Kalaburagi,19,0,2,39.81,102
Kalaburagi,20,0,2,37.39,116
Kalaburagi,21,0,2,39.79,82
Kalaburagi,22,0,2,29.32,89
Kalaburagi,23,0,2,35.57,56
Kalaburagi,0,1,2,33.44,31
Kalaburagi,1,1,2,21.5,31
Kalaburagi,2,1,2,22.92,31
Kalaburagi,3,1,2,28.3,32
Kalaburagi,4,1,2,24.42,33
Kalaburagi,5,1,2,30.34,32
Kalaburagi,6,1,2,26.45,76
Kalaburagi,7,1,2,23.95,120
Kalaburagi,8,1,2,33.13,85
Kalaburagi,9,1,2,27.58,90
Kalaburagi,10,1,2,36.72,101
Kalaburagi,11,1,2,26.58,76
Kalaburagi,12,1,2,31.56,54
Kalaburagi,13,1,2,25.94,58
Kalaburagi,14,1,2,29.67,78
Kalaburagi,15,1,2,36.42,81
Kalaburagi,16,1,2,33.63,80
Kalaburagi,17,1,2,33.01,118
Kalaburagi,18,1,2,33.63,94
Kalaburagi,19,1,2,41.55,74
Kalaburagi,20,1,2,32.14,125
Kalaburagi,21,1,2,42.35,71
Kalaburagi,22,1,2,32.05,77
Kalaburagi,23,1,2,35.26,57
Kalaburagi,0,2,2,24.84,10
Kalaburagi,1,2,2,25.34,20
Kalaburagi,2,2,2,24.21,26
Kalaburagi,3,2,2,32.59,35
Kalaburagi,4,2,2,21.84,10
Kalaburagi,5,2,2,25.88,35
Kalaburagi,6,2,2,24.16,52
Kalaburagi,7,2,2,32.21,119
Kalaburagi,8,2,2,34.4,76
Kalaburagi,9,2,2,25.79,76
Kalaburagi,10,2,2,27.01,125
Kalaburagi,11,2,2,32.89,72
Kalaburagi,12,2,2,27.76,99
Kalaburagi,13,2,2,34.98,51
Kalaburagi,14,2,2,29.06,100
Kalaburagi,15,2,2,38.15,66
Kalaburagi,16,2,2,37.0,63
Kalaburagi,17,2,2,29.46,78
Kalaburagi,18,2,2,32.34,89
Kalaburagi,19,2,2,40.42,95
Kalaburagi,20,2,2,35.11,121
Kalaburagi,21,2,2,39.61,60
Kalaburagi,22,2,2,33.43,82
Kalaburagi,23,2,2,42.94,82
Kalaburagi,0,3,2,34.45,34
Kalaburagi,1,3,2,31.67,36
Kalaburagi,2,3,2,27.85,17
Kalaburagi,3,3,2,28.14,19
Kalaburagi,4,3,2,27.73,23
Kalaburagi,5,3,2,27.66,33
Kalaburagi,6,3,2,35.65,75
Kalaburagi,7,3,2,23.02,125
Kalaburagi,8,3,2,27.64,105
Kalaburagi,9,3,2,32.79,100
Kalaburagi,10,3,2,32.04,91
Kalaburagi,11,3,2,24.93,48
Kalaburagi,12,3,2,33.43,55
Kalaburagi,13,3,2,33.78,81
Kalaburagi,14,3,2,36.25,52
Kalaburagi,15,3,2,31.55,85
Kalaburagi,16,3,2,31.17,68
Kalaburagi,17,3,2,28.63,77
Kalaburagi,18,3,2,40.18,112
Kalaburagi,19,3,2,37.1,90
Kalaburagi,20,3,2,38.59,85
Kalaburagi,21,3,2,42.19,47
Kalaburagi,22,3,2,31.57,95
Kalaburagi,23,3,2,38.32,95
Kalaburagi,0,4,2,27.99,22
Kalaburagi,1,4,2,23.05,28
Kalaburagi,2,4,2,32.14,19
Kalaburagi,3,4,2,35.12,21
Kalaburagi,4,4,2,36.37,10
Kalaburagi,5,4,2,36.72,11
Kalaburagi,6,4,2,28.87,71
Kalaburagi,7,4,2,29.93,93
Kalaburagi,8,4,2,36.63,114
Kalaburagi,9,4,2,36.84,91
Kalaburagi,10,4,2,38.14,99
Kalaburagi,11,4,2,27.41,87
Kalaburagi,12,4,2,28.39,70
Kalaburagi,13,4,2,28.64,85
Kalaburagi,14,4,2,33.38,76
Kalaburagi,15,4,2,31.68,82
Kalaburagi,16,4,2,31.74,100
Kalaburagi,17,4,2,28.87,88
Kalaburagi,18,4,2,29.18,90
Kalaburagi,19,4,2,31.2,74
Kalaburagi,20,4,2,36.69,109
Kalaburagi,21,4,2,32.25,73
Kalaburagi,22,4,2,40.4,49
Kalaburagi,23,4,2,35.56,79
Kalaburagi,0,5,2,25.59,25
Kalaburagi,1,5,2,20.43,16
Kalaburagi,2,5,2,34.16,25
Kalaburagi,3,5,2,31.29,10
Kalaburagi,4,5,2,23.7,28
Kalaburagi,5,5,2,34.22,13
Kalaburagi,6,5,2,33.18,80
Kalaburagi,7,5,2,37.68,94
Kalaburagi,8,5,2,29.09,67
Kalaburagi,9,5,2,36.68,98
