City,Hour,Weekday,Junction,Temperature,TrafficFlow
Raichur,0,0,4,24.25,32
Raichur,1,0,4,32.36,12
Raichur,2,0,4,29.44,23
Raichur,3,0,4,34.42,17
Raichur,4,0,4,35.93,25
Raichur,5,0,4,28.64,11
Raichur,6,0,4,37.2,97
Raichur,7,0,4,36.87,116
Raichur,8,0,4,31.92,114
Raichur,9,0,4,25.52,113
Raichur,10,0,4,33.13,83
Raichur,11,0,4,31.34,85
Raichur,12,0,4,32.4,100
Raichur,13,0,4,26.99,97
Raichur,14,0,4,32.06,63
Raichur,15,0,4,28.42,93
Raichur,16,0,4,38.83,56
Raichur,17,0,4,31.27,104
Raichur,18,0,4,42.35,100
Raichur,19,0,4,38.06,74
Raichur,20,0,4,43.0,102
Raichur,21,0,4,32.81,78
Raichur,22,0,4,39.76,72
Raichur,23,0,4,35.91,94
Raichur,0,1,4,21.13,26
Raichur,1,1,4,24.64,36
Raichur,2,1,4,25.49,23
Raichur,3,1,4,26.23,18
Raichur,4,1,4,22.63,20
Raichur,5,1,4,28.12,34
Raichur,6,1,4,30.17,59
Raichur,7,1,4,29.41,116
Raichur,8,1,4,31.93,107
Raichur,9,1,4,32.41,86
Raichur,10,1,4,28.94,71
Raichur,11,1,4,31.01,90
Raichur,12,1,4,38.43,60
Raichur,13,1,4,35.74,81
Raichur,14,1,4,32.36,65
Raichur,15,1,4,28.88,94
Raichur,16,1,4,32.34,98
Raichur,17,1,4,42.01,85
Raichur,18,1,4,36.28,116
Raichur,19,1,4,38.69,127
Raichur,20,1,4,38.36,75
Raichur,21,1,4,32.61,54
Raichur,22,1,4,32.68,60
Raichur,23,1,4,32.63,75
Raichur,0,2,4,23.92,23
Raichur,1,2,4,28.2,28
Raichur,2,2,4,24.33,13
Raichur,3,2,4,35.99,10
Raichur,4,2,4,35.28,13
Raichur,5,2,4,28.18,31
Raichur,6,2,4,34.64,85
Raichur,7,2,4,25.79,96
Raichur,8,2,4,29.86,75
Raichur,9,2,4,34.42,124
Raichur,10,2,4,36.84,96
Raichur,11,2,4,29.88,51
Raichur,12,2,4,30.26,72
Raichur,13,2,4,35.5,81
Raichur,14,2,4,28.83,77
Raichur,15,2,4,32.08,56
Raichur,16,2,4,31.3,100
Raichur,17,2,4,38.07,77
Raichur,18,2,4,37.3,128
Raichur,19,2,4,42.84,117
Raichur,20,2,4,37.88,84
Raichur,21,2,4,37.28,67
Raichur,22,2,4,33.91,57
Raichur,23,2,4,30.63,79
Raichur,0,3,4,30.4,18
Raichur,1,3,4,25.07,28
Raichur,2,3,4,23.68,10
Raichur,3,3,4,24.97,28
Raichur,4,3,4,23.08,27
Raichur,5,3,4,29.37,25
Raichur,6,3,4,31.06,72
Raichur,7,3,4,25.37,94
Raichur,8,3,4,26.44,119
Raichur,9,3,4,24.25,76
Raichur,10,3,4,31.71,125
Raichur,11,3,4,34.69,52
Raichur,12,3,4,25.54,56
Raichur,13,3,4,32.42,101
