City,Hour,Weekday,Junction,Temperature,TrafficFlow
Raichur,0,0,3,20.57,12
Raichur,1,0,3,32.55,15
Raichur,2,0,3,33.51,10
Raichur,3,0,3,35.81,21
Raichur,4,0,3,23.7,30
Raichur,5,0,3,24.39,10
Raichur,6,0,3,25.31,69
Raichur,7,0,3,25.19,80
Raichur,8,0,3,29.79,92
Raichur,9,0,3,31.77,98
Raichur,10,0,3,36.32,107
Raichur,11,0,3,37.5,77
Raichur,12,0,3,25.06,81
Raichur,13,0,3,29.15,88
Raichur,14,0,3,26.35,95
Raichur,15,0,3,36.01,64
Raichur,16,0,3,36.09,52
Raichur,17,0,3,30.64,92
Raichur,18,0,3,32.44,106
Raichur,19,0,3,34.78,65
Raichur,20,0,3,36.07,117
Raichur,21,0,3,41.4,52
Raichur,22,0,3,32.93,58
Raichur,23,0,3,40.6,51
Raichur,0,1,3,32.92,10
Raichur,1,1,3,22.89,10
Raichur,2,1,3,22.7,24
Raichur,3,1,3,21.32,23
Raichur,4,1,3,33.96,31
Raichur,5,1,3,26.79,16
Raichur,6,1,3,32.94,54
Raichur,7,1,3,34.41,88
Raichur,8,1,3,34.65,93
Raichur,9,1,3,23.77,77
Raichur,10,1,3,25.22,79
Raichur,11,1,3,32.96,59
Raichur,12,1,3,35.38,74
Raichur,13,1,3,31.23,59
Raichur,14,1,3,40.6,80
Raichur,15,1,3,33.34,76
Raichur,16,1,3,40.78,74
Raichur,17,1,3,27.13,77
Raichur,18,1,3,33.94,80
Raichur,19,1,3,31.76,83
Raichur,20,1,3,33.56,97
Raichur,21,1,3,30.31,48
Raichur,22,1,3,37.4,80
Raichur,23,1,3,33.08,64
Raichur,0,2,3,26.69,28
Raichur,1,2,3,28.75,27
Raichur,2,2,3,29.76,24
Raichur,3,2,3,26.51,28
Raichur,4,2,3,30.7,10
Raichur,5,2,3,25.76,22
Raichur,6,2,3,28.56,55
Raichur,7,2,3,33.25,100
Raichur,8,2,3,24.15,74
Raichur,9,2,3,36.07,100
Raichur,10,2,3,30.36,70
Raichur,11,2,3,35.3,98
Raichur,12,2,3,39.78,67
Raichur,13,2,3,31.02,72
Raichur,14,2,3,37.19,73
Raichur,15,2,3,33.31,61
Raichur,16,2,3,32.36,70
Raichur,17,2,3,39.15,81
Raichur,18,2,3,31.69,112
Raichur,19,2,3,33.78,101
Raichur,20,2,3,35.59,72
Raichur,21,2,3,36.16,87
Raichur,22,2,3,33.0,92
Raichur,23,2,3,38.39,51
Raichur,0,3,3,27.2,32
Raichur,1,3,3,29.49,29
Raichur,2,3,3,23.0,32
Raichur,3,3,3,26.95,17
Raichur,4,3,3,33.82,18
Raichur,5,3,3,28.97,23
Raichur,6,3,3,25.8,57
Raichur,7,3,3,30.69,65
Raichur,8,3,3,35.83,103
Raichur,9,3,3,28.5,96
Raichur,10,3,3,26.46,82
Raichur,11,3,3,34.85,97
Raichur,12,3,3,38.99,69
Raichur,13,3,3,29.54,70
Raichur,14,3,3,27.72,86
Raichur,15,3,3,27.18,75
Raichur,16,3,3,30.23,79
Raichur,17,3,3,31.72,98
Raichur,18,3,3,31.9,83
Raichur,19,3,3,32.07,102
Raichur,20,3,3,34.96,96
Raichur,21,3,3,38.35,64
Raichur,22,3,3,35.47,64
Raichur,23,3,3,29.9,74
Raichur,0,4,3,29.45,26
Raichur,1,4,3,22.59,14
Raichur,2,4,3,30.83,23
Raichur,3,4,3,34.99,18
Raichur,4,4,3,25.93,28
Raichur,5,4,3,24.2,14
Raichur,6,4,3,28.41,63
Raichur,7,4,3,36.38,112
Raichur,8,4,3,33.49,79
Raichur,9,4,3,33.69,109
Raichur,10,4,3,24.28,90
Raichur,11,4,3,27.7,91
Raichur,12,4,3,25.97,55
Raichur,13,4,3,29.99,58
Raichur,14,4,3,35.37,50
Raichur,15,4,3,33.37,87
Raichur,16,4,3,38.45,95
Raichur,17,4,3,35.79,109
Raichur,18,4,3,34.15,72
Raichur,19,4,3,41.09,101
Raichur,20,4,3,41.61,113
Raichur,21,4,3,31.09,53
Raichur,22,4,3,37.47,55
Raichur,23,4,3,34.46,48
Raichur,0,5,3,20.42,16
Raichur,1,5,3,34.2,12
Raichur,2,5,3,31.51,24
Raichur,3,5,3,28.34,19
Raichur,4,5,3,27.01,23
Raichur,5,5,3,25.32,24
Raichur,6,5,3,37.31,64
Raichur,7,5,3,36.75,61
Raichur,8,5,3,33.33,87
Raichur,9,5,3,35.21,91
Raichur,10,5,3,36.51,95
Raichur,11,5,3,32.43,69
Raichur,12,5,3,33.93,49
Raichur,13,5,3,25.83,45
Raichur,14,5,3,31.42,48
Raichur,15,5,3,34.77,78
Raichur,16,5,3,33.99,74
Raichur,17,5,3,31.07,71
