City,Hour,Weekday,Junction,Temperature,TrafficFlow
Raichur,0,0,2,34.14,10
Raichur,1,0,2,35.21,26
Raichur,2,0,2,25.34,30
Raichur,3,0,2,22.92,29
Raichur,4,0,2,34.67,11
Raichur,5,0,2,23.77,10
Raichur,6,0,2,31.17,65
Raichur,7,0,2,36.22,93
Raichur,8,0,2,31.25,73
Raichur,9,0,2,24.47,62
Raichur,10,0,2,28.84,82
Raichur,11,0,2,25.89,50
Raichur,12,0,2,36.75,87
Raichur,13,0,2,26.07,72
Raichur,14,0,2,30.24,76
Raichur,15,0,2,38.38,77
Raichur,16,0,2,31.13,72
Raichur,17,0,2,28.46,60
Raichur,18,0,2,38.07,91
Raichur,19,0,2,41.19,88
Raichur,20,0,2,39.44,73
Raichur,21,0,2,32.73,57
Raichur,22,0,2,33.39,76
Raichur,23,0,2,37.89,86
Raichur,0,1,2,30.72,22
Raichur,1,1,2,32.04,10
Raichur,2,1,2,24.44,24
Raichur,3,1,2,30.16,21
Raichur,4,1,2,21.9,22
Raichur,5,1,2,29.25,26
Raichur,6,1,2,29.17,43
Raichur,7,1,2,30.66,68
Raichur,8,1,2,27.43,87
Raichur,9,1,2,37.31,88
Raichur,10,1,2,30.88,71
Raichur,11,1,2,25.61,47
Raichur,12,1,2,38.9,88
Raichur,13,1,2,38.5,74
Raichur,14,1,2,40.05,43
Raichur,15,1,2,37.39,77
Raichur,16,1,2,36.29,50
Raichur,17,1,2,37.25,84
Raichur,18,1,2,33.16,76
Raichur,19,1,2,32.25,77
Raichur,20,1,2,33.54,64
Raichur,21,1,2,43.25,69
Raichur,22,1,2,29.35,70
Raichur,23,1,2,29.93,88
Raichur,0,2,2,24.54,29
Raichur,1,2,2,31.2,12
Raichur,2,2,2,21.2,25
Raichur,3,2,2,22.33,19
Raichur,4,2,2,31.88,17
Raichur,5,2,2,26.23,23
Raichur,6,2,2,29.49,55
Raichur,7,2,2,25.93,82
Raichur,8,2,2,24.01,68
Raichur,9,2,2,28.17,99
Raichur,10,2,2,34.73,81
Raichur,11,2,2,27.39,46
Raichur,12,2,2,35.61,47
Raichur,13,2,2,35.96,80
Raichur,14,2,2,33.38,72
Raichur,15,2,2,33.74,48
Raichur,16,2,2,31.03,76
Raichur,17,2,2,37.64,92
Raichur,18,2,2,38.81,66
Raichur,19,2,2,36.33,78
Raichur,20,2,2,40.79,104
Raichur,21,2,2,31.01,52
Raichur,22,2,2,36.37,75
Raichur,23,2,2,38.01,73
Raichur,0,3,2,32.26,12
Raichur,1,3,2,30.61,24
Raichur,2,3,2,25.11,19
Raichur,3,3,2,34.99,15
Raichur,4,3,2,27.88,27
Raichur,5,3,2,36.81,10
Raichur,6,3,2,31.23,50
Raichur,7,3,2,27.92,77
Raichur,8,3,2,30.16,78
Raichur,9,3,2,26.8,83
Raichur,10,3,2,33.49,104
Raichur,11,3,2,37.74,56
Raichur,12,3,2,37.31,84
Raichur,13,3,2,37.25,59
Raichur,14,3,2,25.95,76
Raichur,15,3,2,40.5,71
Raichur,16,3,2,39.12,44
Raichur,17,3,2,39.32,61
Raichur,18,3,2,29.52,93
Raichur,19,3,2,32.27,68
Raichur,20,3,2,32.55,66
Raichur,21,3,2,30.08,64
Raichur,22,3,2,40.47,48
Raichur,23,3,2,37.98,52
Raichur,0,4,2,26.65,21
Raichur,1,4,2,25.86,24
Raichur,2,4,2,30.73,22
Raichur,3,4,2,25.74,30
Raichur,4,4,2,23.89,17
Raichur,5,4,2,33.04,12
Raichur,6,4,2,35.54,86
Raichur,7,4,2,30.5,105
Raichur,8,4,2,34.57,91
Raichur,9,4,2,31.6,66
Raichur,10,4,2,36.39,94
Raichur,11,4,2,26.36,89
Raichur,12,4,2,27.99,52
Raichur,13,4,2,29.02,76
Raichur,14,4,2,32.25,49
Raichur,15,4,2,38.14,70
Raichur,16,4,2,33.82,76
Raichur,17,4,2,35.41,103
Raichur,18,4,2,29.79,88
Raichur,19,4,2,28.93,71
Raichur,20,4,2,37.08,80
Raichur,21,4,2,33.0,43
Raichur,22,4,2,30.39,55
Raichur,23,4,2,37.82,82
Raichur,0,5,2,31.46,11
Raichur,1,5,2,24.3,21
Raichur,2,5,2,24.19,21
Raichur,3,5,2,34.63,13
Raichur,4,5,2,35.95,13
Raichur,5,5,2,28.45,19
Raichur,6,5,2,33.11,45
Raichur,7,5,2,29.1,59
Raichur,8,5,2,31.68,52
Raichur,9,5,2,24.6,90
Raichur,10,5,2,33.04,77
Raichur,11,5,2,25.7,40
Raichur,12,5,2,33.87,54
Raichur,13,5,2,39.62,67
Raichur,14,5,2,39.72,67
Raichur,15,5,2,30.64,63
Raichur,16,5,2,27.78,75
Raichur,17,5,2,35.97,53
Raichur,18,5,2,33.13,72
Raichur,19,5,2,38.16,55
Raichur,20,5,2,40.32,78
Raichur,21,5,2,42.48,48
Raichur,22,5,2,33.73,55
Raichur,23,5,2,38.98,37
Raichur,0,6,2,33.67,10
Raichur,1,6,2,29.8,10
Raichur,2,6,2,22.77,18
Raichur,3,6,2,32.18,10
Raichur,4,6,2,31.08,22
Raichur,5,6,2,22.34,21
Raichur,6,6,2,28.23,36
Raichur,7,6,2,30.6,81
Raichur,8,6,2,37.76,81
Raichur,9,6,2,28.68,57
Raichur,10,6,2,31.92,55
Raichur,11,6,2,32.11,45
Raichur,12,6,2,34.36,44
Raichur,13,6,2,28.83,53
Raichur,14,6,2,31.58,73
Raichur,15,6,2,37.55,63
Raichur,16,6,2,31.6,42
Raichur,17,6,2,40.38,51
Raichur,18,6,2,37.0,60
Raichur,19,6,2,42.34,74
Raichur,20,6,2,36.61,82
Raichur,21,6,2,35.7,54
Raichur,22,6,2,36.35,54
Raichur,23,6,2,42.98,70
