City,Hour,Weekday,Junction,Temperature,TrafficFlow
Raichur,0,0,1,22.94,24
Raichur,1,0,1,27.83,10
Raichur,2,0,1,21.17,10
Raichur,3,0,1,23.66,13
Raichur,4,0,1,29.79,13
Raichur,5,0,1,35.16,10
Raichur,6,0,1,29.63,50
Raichur,7,0,1,28.47,70
Raichur,8,0,1,32.54,55
Raichur,9,0,1,28.42,72
Raichur,10,0,1,35.6,66
Raichur,11,0,1,30.05,38
Raichur,12,0,1,28.5,70
Raichur,13,0,1,37.75,39
Raichur,14,0,1,31.98,67
Raichur,15,0,1,36.8,55
Raichur,16,0,1,34.73,53
Raichur,17,0,1,34.05,70
Raichur,18,0,1,36.0,94
Raichur,19,0,1,35.89,80
Raichur,20,0,1,34.17,61
Raichur,21,0,1,41.64,73
Raichur,22,0,1,29.32,56
Raichur,23,0,1,33.26,55
Raichur,0,1,1,25.92,27
Raichur,1,1,1,33.0,24
Raichur,2,1,1,33.26,13
Raichur,3,1,1,31.74,24
Raichur,4,1,1,28.52,23
Raichur,5,1,1,35.48,27
Raichur,6,1,1,37.2,66
Raichur,7,1,1,35.38,54
Raichur,8,1,1,31.71,65
Raichur,9,1,1,38.57,59
Raichur,10,1,1,31.92,72
Raichur,11,1,1,33.93,50
Raichur,12,1,1,34.3,52
Raichur,13,1,1,38.18,43
Raichur,14,1,1,34.45,40
Raichur,15,1,1,31.39,63
Raichur,16,1,1,39.1,72
Raichur,17,1,1,36.66,89
Raichur,18,1,1,32.86,93
Raichur,19,1,1,41.05,82
Raichur,20,1,1,41.0,84
Raichur,21,1,1,29.68,69
Raichur,22,1,1,37.02,49
Raichur,23,1,1,32.36,69
Raichur,0,2,1,24.22,10
Raichur,1,2,1,29.65,27
Raichur,2,2,1,29.91,22
Raichur,3,2,1,27.51,26
Raichur,4,2,1,31.01,21
Raichur,5,2,1,36.09,18
Raichur,6,2,1,28.84,65
Raichur,7,2,1,35.98,59
Raichur,8,2,1,24.24,60
Raichur,9,2,1,29.36,59
Raichur,10,2,1,31.27,76
Raichur,11,2,1,31.82,43
Raichur,12,2,1,38.77,56
Raichur,13,2,1,38.88,53
Raichur,14,2,1,31.87,77
Raichur,15,2,1,40.57,54
Raichur,16,2,1,33.61,77
Raichur,17,2,1,38.28,87
Raichur,18,2,1,39.79,53
Raichur,19,2,1,38.76,88
Raichur,20,2,1,33.52,92
Raichur,21,2,1,38.44,78
Raichur,22,2,1,40.69,72
Raichur,23,2,1,42.32,74
Raichur,0,3,1,34.47,11
Raichur,1,3,1,34.13,13
Raichur,2,3,1,26.13,19
Raichur,3,3,1,28.52,22
Raichur,4,3,1,22.91,20
Raichur,5,3,1,23.65,26
Raichur,6,3,1,36.31,39
Raichur,7,3,1,23.44,58
Raichur,8,3,1,35.89,69
Raichur,9,3,1,31.09,87
Raichur,10,3,1,33.75,70
Raichur,11,3,1,27.15,67
Raichur,12,3,1,39.18,73
Raichur,13,3,1,37.05,77
Raichur,14,3,1,26.95,66
Raichur,15,3,1,40.08,61
Raichur,16,3,1,35.11,45
Raichur,17,3,1,29.78,79
Raichur,18,3,1,36.64,82
Raichur,19,3,1,32.39,87
Raichur,20,3,1,36.79,90
Raichur,21,3,1,28.96,42
Raichur,22,3,1,42.48,52
Raichur,23,3,1,36.78,62
Raichur,0,4,1,23.12,24
Raichur,1,4,1,28.55,17
Raichur,2,4,1,26.43,25
Raichur,3,4,1,34.24,11
Raichur,4,4,1,23.32,15
Raichur,5,4,1,23.6,23
Raichur,6,4,1,25.85,63
Raichur,7,4,1,33.13,93
